,Time,Country,Series,Pay period,value
37,2010-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.048
38,2011-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.7950001
39,2012-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.632
40,2013-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5839996
41,2014-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5649996
42,2015-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5930004
43,2016-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.148
44,2006-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,11740.059
45,2007-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12047.642
46,2008-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12172.902
47,2009-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12696.383
48,2010-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12657.498
49,2011-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12424.575
50,2012-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12127.923
51,2013-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12030.048
52,2014-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12049.553
53,2015-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12170.472
54,2016-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Annual,12317.413
55,2006-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,4.82443
56,2007-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,4.9513302
57,2008-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.0025601
58,2009-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.21769
59,2010-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.2018299
60,2011-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.1059899
61,2012-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,4.9840798
62,2013-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,4.9439602
63,2014-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,4.9514298
64,2015-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.00178
65,2016-01-01,Spain,In 2015 constant prices at 2015 USD PPPs,Hourly,5.0620198
66,2006-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,9714.1846
67,2007-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,9968.6914
68,2008-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10072.337
69,2009-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10505.485
70,2010-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10473.31
71,2011-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10280.58
72,2012-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10035.119
73,2013-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,9954.1328
74,2014-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,9970.2734
75,2015-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10070.326
76,2016-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Annual,10191.91
77,2006-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,3.9920001
78,2007-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.0970001
79,2008-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.1389999
80,2009-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.3169999
81,2010-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.3039999
82,2011-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.2249999
83,2012-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.1240001
84,2013-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.0910001
85,2014-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.0970001
86,2015-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.1389999
87,2016-01-01,Spain,In 2015 constant prices at 2015 USD exchange rates,Hourly,4.1890001
88,2006-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,20410.652
89,2007-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21087.568
90,2008-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,20718.238
91,2009-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,20984.768
92,2010-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,20879.332
93,2011-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21037.328
94,2012-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21323.83
95,2013-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21387.027
96,2014-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21453.828
97,2015-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21715.529
98,2016-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Annual,21967.23
99,2006-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.33073
100,2007-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.67106
101,2008-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.48298
102,2009-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.61966
103,2010-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.5709
104,2011-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.65163
105,2012-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.79636
106,2013-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.82608
107,2014-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.85724
108,2015-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,10.99195
109,2016-01-01,Australia,In 2015 constant prices at 2015 USD PPPs,Hourly,11.12024
110,2006-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,23826.637
111,2007-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24616.844
112,2008-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24185.703
113,2009-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24496.838
114,2010-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24373.756
115,2011-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24558.195
116,2012-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24892.646
117,2013-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,24966.422
118,2014-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,25044.402
119,2015-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,25349.9
120,2016-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Annual,25643.729
121,2006-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.06
122,2007-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.457
123,2008-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.237
124,2009-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.397
125,2010-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.34
126,2011-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.434
127,2012-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.603
128,2013-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.638
129,2014-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.674
130,2015-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.832
131,2016-01-01,Australia,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.981
132,2006-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8491.3682
133,2007-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8436.2979
134,2008-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8301.5244
135,2009-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8514.1846
136,2010-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8595.4482
137,2011-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,8853.4424
138,2012-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,9093.6318
139,2013-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,9261.2588
140,2014-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,9379.5137
141,2015-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,10062.421
142,2016-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Annual,12074.759
143,2006-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.0711999
144,2007-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.0447998
145,2008-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,3.98018
146,2009-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.08214
147,2010-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.12111
148,2011-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.2448001
149,2012-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.3599601
150,2013-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.44033
151,2014-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.4970298
152,2015-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,4.82445
153,2016-01-01,Turkey,In 2015 constant prices at 2015 USD PPPs,Hourly,5.7892699
154,2006-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4741.165
155,2007-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4710.416
156,2008-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4635.165
157,2009-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4753.9048
158,2010-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4799.2778
159,2011-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,4943.3291
160,2012-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,5077.4399
161,2013-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,5171.0342
162,2014-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,5237.062
163,2015-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,5618.3638
164,2016-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Annual,6741.9551
165,2006-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.273
166,2007-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.2579999
167,2008-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.2219999
168,2009-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.279
169,2010-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.3010001
170,2011-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.3699999
171,2012-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.434
172,2013-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.4790001
173,2014-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.5109999
174,2015-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,2.694
175,2016-01-01,Turkey,In 2015 constant prices at 2015 USD exchange rates,Hourly,3.2320001
176,2006-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,21639.123
177,2007-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22044.701
178,2008-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,21763.514
179,2009-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22670.305
180,2010-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22534.82
181,2011-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22619.83
182,2012-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22583.826
183,2013-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22840.506
184,2014-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,23401.492
185,2015-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,23290.914
186,2016-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Annual,22836.064
187,2006-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.4254
188,2007-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.62262
189,2008-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.47679
190,2009-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.9231
191,2010-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.85661
192,2011-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.8929
193,2012-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,10.8803
194,2013-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,11.00099
195,2014-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,11.27708
196,2015-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,11.2238
197,2016-01-01,Luxembourg,In 2015 constant prices at 2015 USD PPPs,Hourly,11.00003
198,2006-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,23777.285
199,2007-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,24222.939
200,2008-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,23913.969
201,2009-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,24910.357
202,2010-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,24761.488
203,2011-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,24854.898
204,2012-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,24815.338
205,2013-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,25097.377
206,2014-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,25713.797
207,2015-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,25592.293
208,2016-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Annual,25092.498
209,2006-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.456
210,2007-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.672
211,2008-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.512
212,2009-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.002
213,2010-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.929
214,2011-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.969
215,2012-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,11.955
216,2013-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.088
217,2014-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.391
218,2015-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.333
219,2016-01-01,Luxembourg,In 2015 constant prices at 2015 USD exchange rates,Hourly,12.087
220,2006-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,15566.118
221,2007-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,16600.805
222,2008-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17148.117
223,2009-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17592.496
224,2010-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17630.885
225,2011-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17282.182
226,2012-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17679.221
227,2013-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,17889.35
228,2014-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,18237.277
229,2015-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,18827.74
230,2016-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Annual,19346.395
231,2006-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,7.4874201
232,2007-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,7.9811602
233,2008-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.2425404
234,2009-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.4613504
235,2010-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.4780598
236,2011-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.3103504
237,2012-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.5028
238,2013-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.6022196
239,2014-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,8.7275696
240,2015-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,9.0548897
241,2016-01-01,New Zealand,In 2015 constant prices at 2015 USD PPPs,Hourly,9.3042297
242,2006-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,17538.795
243,2007-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,18704.605
244,2008-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,19321.277
245,2009-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,19821.973
246,2010-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,19865.227
247,2011-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,19472.332
248,2012-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,19919.688
249,2013-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,20156.445
250,2014-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,20548.467
251,2015-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,21213.76
252,2016-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Annual,21798.143
253,2006-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,8.4359999
254,2007-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,8.993
255,2008-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.2869997
256,2009-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5340004
257,2010-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.552
258,2011-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.3640003
259,2012-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5799999
260,2013-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.6920004
261,2014-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.8339996
262,2015-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.202
263,2016-01-01,New Zealand,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.483
264,2006-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,16764.969
265,2007-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17240.371
266,2008-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17198.191
267,2009-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17359.232
268,2010-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17053.221
269,2011-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,16701.367
270,2012-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,16628.547
271,2013-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,16510.783
272,2014-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,16630.965
273,2015-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17125.453
274,2016-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Annual,17568.326
275,2006-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.0679398
276,2007-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.2850904
277,2008-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.2645102
278,2009-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.3492804
279,2010-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.1948795
280,2011-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.0331297
281,2012-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,7.99751
282,2013-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,7.9376302
283,2014-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,7.99856
284,2015-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.2333899
285,2016-01-01,United Kingdom,In 2015 constant prices at 2015 USD PPPs,Hourly,8.4431896
286,2006-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20376.32
287,2007-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20954.133
288,2008-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20902.865
289,2009-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,21098.598
290,2010-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20726.668
291,2011-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20299.021
292,2012-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20210.514
293,2013-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20067.385
294,2014-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20213.451
295,2015-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,20814.459
296,2016-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Annual,21352.73
297,2006-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.8059998
298,2007-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.07
299,2008-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.045
300,2009-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,10.148
301,2010-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.96
302,2011-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.7639999
303,2012-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.7200003
304,2013-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.6470003
305,2014-01-01,United Kingdom,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.7220001
