,GEO,AGE,UNIT,SEX,INDIC_EM,Value,DATE
146,Euro area (18 countries),From 15 to 24 years,Thousand persons,Males,Active population,9236.0,2007-01-01
147,Euro area (18 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),7912.0,2007-01-01
148,Euro area (18 countries),From 15 to 24 years,Thousand persons,Females,Active population,7632.0,2007-01-01
149,Euro area (18 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),6418.0,2007-01-01
150,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Total,Active population,44.4,2007-01-01
151,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),37.7,2007-01-01
152,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Males,Active population,47.8,2007-01-01
153,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),40.9,2007-01-01
154,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Females,Active population,40.8,2007-01-01
155,Euro area (18 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.3,2007-01-01
156,Euro area (18 countries),From 25 to 54 years,Thousand persons,Total,Active population,118911.0,2007-01-01
157,Euro area (18 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),111051.0,2007-01-01
158,Euro area (18 countries),From 25 to 54 years,Thousand persons,Males,Active population,65342.0,2007-01-01
159,Euro area (18 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),61598.0,2007-01-01
160,Euro area (18 countries),From 25 to 54 years,Thousand persons,Females,Active population,53568.0,2007-01-01
161,Euro area (18 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),49453.0,2007-01-01
162,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.7,2007-01-01
163,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.1,2007-01-01
164,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Males,Active population,93.0,2007-01-01
165,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),87.6,2007-01-01
166,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.4,2007-01-01
167,Euro area (18 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),70.5,2007-01-01
168,Euro area (18 countries),From 55 to 64 years,Thousand persons,Total,Active population,17550.0,2007-01-01
169,Euro area (18 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),16457.0,2007-01-01
170,Euro area (18 countries),From 55 to 64 years,Thousand persons,Males,Active population,10308.0,2007-01-01
171,Euro area (18 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),9702.0,2007-01-01
172,Euro area (18 countries),From 55 to 64 years,Thousand persons,Females,Active population,7242.0,2007-01-01
173,Euro area (18 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),6755.0,2007-01-01
174,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Total,Active population,46.1,2007-01-01
175,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),43.2,2007-01-01
176,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Males,Active population,55.5,2007-01-01
177,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),52.2,2007-01-01
178,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Females,Active population,37.1,2007-01-01
179,Euro area (18 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.6,2007-01-01
180,Euro area (17 countries),From 15 to 24 years,Thousand persons,Total,Active population,16723.0,2007-01-01
181,Euro area (17 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),14201.0,2007-01-01
182,Euro area (17 countries),From 15 to 24 years,Thousand persons,Males,Active population,9151.0,2007-01-01
183,Euro area (17 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),7837.0,2007-01-01
184,Euro area (17 countries),From 15 to 24 years,Thousand persons,Females,Active population,7572.0,2007-01-01
185,Euro area (17 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),6364.0,2007-01-01
186,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Total,Active population,44.4,2007-01-01
187,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),37.7,2007-01-01
188,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Males,Active population,47.8,2007-01-01
189,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),40.9,2007-01-01
190,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Females,Active population,40.9,2007-01-01
191,Euro area (17 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.3,2007-01-01
192,Euro area (17 countries),From 25 to 54 years,Thousand persons,Total,Active population,118121.0,2007-01-01
193,Euro area (17 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),110306.0,2007-01-01
194,Euro area (17 countries),From 25 to 54 years,Thousand persons,Males,Active population,64941.0,2007-01-01
195,Euro area (17 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),61221.0,2007-01-01
196,Euro area (17 countries),From 25 to 54 years,Thousand persons,Females,Active population,53180.0,2007-01-01
197,Euro area (17 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),49085.0,2007-01-01
198,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.7,2007-01-01
199,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.1,2007-01-01
200,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Males,Active population,93.0,2007-01-01
201,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),87.7,2007-01-01
202,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.3,2007-01-01
203,Euro area (17 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),70.4,2007-01-01
204,Euro area (17 countries),From 55 to 64 years,Thousand persons,Total,Active population,17401.0,2007-01-01
205,Euro area (17 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),16315.0,2007-01-01
206,Euro area (17 countries),From 55 to 64 years,Thousand persons,Males,Active population,10238.0,2007-01-01
207,Euro area (17 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),9635.0,2007-01-01
208,Euro area (17 countries),From 55 to 64 years,Thousand persons,Females,Active population,7163.0,2007-01-01
209,Euro area (17 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),6680.0,2007-01-01
210,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Total,Active population,46.0,2007-01-01
211,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),43.1,2007-01-01
212,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Males,Active population,55.4,2007-01-01
213,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),52.2,2007-01-01
214,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Females,Active population,37.0,2007-01-01
215,Euro area (17 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.5,2007-01-01
216,Belgium,From 15 to 24 years,Thousand persons,Total,Active population,435.0,2007-01-01
217,Belgium,From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),353.0,2007-01-01
218,Belgium,From 15 to 24 years,Thousand persons,Males,Active population,235.0,2007-01-01
219,Belgium,From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),195.0,2007-01-01
220,Belgium,From 15 to 24 years,Thousand persons,Females,Active population,200.0,2007-01-01
221,Belgium,From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),158.0,2007-01-01
222,Belgium,From 15 to 24 years,Percentage of total population,Total,Active population,33.9,2007-01-01
223,Belgium,From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),27.5,2007-01-01
224,Belgium,From 15 to 24 years,Percentage of total population,Males,Active population,36.1,2007-01-01
225,Belgium,From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),29.9,2007-01-01
226,Belgium,From 15 to 24 years,Percentage of total population,Females,Active population,31.6,2007-01-01
227,Belgium,From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),25.0,2007-01-01
228,Belgium,From 25 to 54 years,Thousand persons,Total,Active population,3818.0,2007-01-01
229,Belgium,From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),3566.0,2007-01-01
230,Belgium,From 25 to 54 years,Thousand persons,Males,Active population,2085.0,2007-01-01
231,Belgium,From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),1961.0,2007-01-01
232,Belgium,From 25 to 54 years,Thousand persons,Females,Active population,1732.0,2007-01-01
233,Belgium,From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),1605.0,2007-01-01
234,Belgium,From 25 to 54 years,Percentage of total population,Total,Active population,85.3,2007-01-01
235,Belgium,From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.7,2007-01-01
236,Belgium,From 25 to 54 years,Percentage of total population,Males,Active population,92.5,2007-01-01
237,Belgium,From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),87.0,2007-01-01
238,Belgium,From 25 to 54 years,Percentage of total population,Females,Active population,78.0,2007-01-01
239,Belgium,From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),72.3,2007-01-01
240,Belgium,From 55 to 64 years,Thousand persons,Total,Active population,448.0,2007-01-01
241,Belgium,From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),429.0,2007-01-01
242,Belgium,From 55 to 64 years,Thousand persons,Males,Active population,275.0,2007-01-01
243,Belgium,From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),265.0,2007-01-01
244,Belgium,From 55 to 64 years,Thousand persons,Females,Active population,173.0,2007-01-01
245,Belgium,From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),164.0,2007-01-01
246,Belgium,From 55 to 64 years,Percentage of total population,Total,Active population,35.9,2007-01-01
247,Belgium,From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),34.4,2007-01-01
248,Belgium,From 55 to 64 years,Percentage of total population,Males,Active population,44.4,2007-01-01
249,Belgium,From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),42.9,2007-01-01
250,Belgium,From 55 to 64 years,Percentage of total population,Females,Active population,27.5,2007-01-01
251,Belgium,From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),26.0,2007-01-01
252,Bulgaria,From 15 to 24 years,Thousand persons,Total,Active population,294.0,2007-01-01
253,Bulgaria,From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),250.0,2007-01-01
254,Bulgaria,From 15 to 24 years,Thousand persons,Males,Active population,165.0,2007-01-01
255,Bulgaria,From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),141.0,2007-01-01
256,Bulgaria,From 15 to 24 years,Thousand persons,Females,Active population,130.0,2007-01-01
257,Bulgaria,From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),109.0,2007-01-01
258,Bulgaria,From 15 to 24 years,Percentage of total population,Total,Active population,28.9,2007-01-01
259,Bulgaria,From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),24.5,2007-01-01
260,Bulgaria,From 15 to 24 years,Percentage of total population,Males,Active population,31.7,2007-01-01
261,Bulgaria,From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),27.1,2007-01-01
262,Bulgaria,From 15 to 24 years,Percentage of total population,Females,Active population,26.0,2007-01-01
263,Bulgaria,From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),21.8,2007-01-01
264,Bulgaria,From 25 to 54 years,Thousand persons,Total,Active population,2709.0,2007-01-01
265,Bulgaria,From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),2545.0,2007-01-01
266,Bulgaria,From 25 to 54 years,Thousand persons,Males,Active population,1405.0,2007-01-01
